"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"xtc_ooit";"xtc_laatste_jaar";"xtc_laatste_maand";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_laatste_maand"
1;"man";24;"vmbo/mbo";NA;0;0;NA;1;1
2;"man";15;"vmbo/mbo";0;0;0;0;0;0
3;"vrouw";20;"hbo/wo";0;0;0;0;0;0
4;"vrouw";20;"hbo/wo";0;0;0;0;0;0
5;"man";23;"havo/vwo";1;0;0;1;1;1
6;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
7;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
8;"man";20;"vmbo/mbo";1;1;0;1;0;0
9;"vrouw";25;"hbo/wo";0;0;0;0;0;0
10;"man";22;"hbo/wo";0;0;0;0;0;0
11;"vrouw";19;"vmbo/mbo";0;0;0;0;0;0
12;"man";21;"vmbo/mbo";0;0;0;1;0;0
13;"vrouw";16;"havo/vwo";0;0;0;0;0;0
14;"man";19;"hbo/wo";0;0;0;0;0;0
15;"vrouw";24;"hbo/wo";0;0;0;1;0;0
16;"vrouw";21;"havo/vwo";0;0;0;0;0;0
17;"man";17;"vmbo/mbo";1;1;1;1;0;0
18;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
19;"vrouw";24;"hbo/wo";0;0;0;0;0;0
20;"vrouw";16;"havo/vwo";0;0;0;0;0;0
21;"vrouw";22;"vmbo/mbo";0;0;0;1;0;0
22;"vrouw";24;"hbo/wo";0;0;0;0;0;0
23;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
24;"vrouw";25;"vmbo/mbo";0;0;0;1;1;1
25;"vrouw";22;"hbo/wo";0;0;0;0;0;0
26;"vrouw";19;"havo/vwo";0;0;0;0;0;0
27;"vrouw";23;"hbo/wo";0;0;0;0;0;0
28;"vrouw";20;"hbo/wo";0;0;0;1;0;0
29;"vrouw";21;"havo/vwo";1;0;0;1;0;0
30;"man";19;"hbo/wo";0;0;0;0;0;0
31;"man";22;"vmbo/mbo";1;1;1;1;1;1
32;"vrouw";16;"vmbo/mbo";0;0;0;0;0;0
33;"man";18;"vmbo/mbo";0;0;0;0;0;0
34;"vrouw";24;"hbo/wo";0;0;0;0;0;0
35;"man";15;"vmbo/mbo";0;0;0;0;0;0
36;"vrouw";23;"vmbo/mbo";0;0;0;1;1;1
37;"vrouw";23;"vmbo/mbo";0;0;0;1;1;0
38;"vrouw";21;"hbo/wo";0;0;0;0;0;0
39;"man";19;"vmbo/mbo";0;0;0;0;0;0
40;"vrouw";25;"vmbo/mbo";0;0;0;1;0;0
41;"vrouw";15;"havo/vwo";0;0;0;1;1;1
42;"man";22;"hbo/wo";0;0;0;0;0;0
43;"vrouw";18;"havo/vwo";0;0;0;1;0;0
44;"vrouw";20;"hbo/wo";0;0;0;0;0;0
45;"vrouw";20;"vmbo/mbo";1;1;0;1;1;1
46;"vrouw";23;"vmbo/mbo";0;0;0;1;1;1
47;"man";19;"hbo/wo";0;0;0;0;0;0
48;"vrouw";17;"hbo/wo";0;0;0;1;1;0
49;"man";25;"havo/vwo";0;0;0;1;1;1
50;"vrouw";20;"havo/vwo";0;0;0;1;1;0
51;"anders";18;"vmbo/mbo";0;0;0;0;0;0
52;"man";18;NA;0;0;0;1;1;0
53;"man";23;"vmbo/mbo";0;0;0;1;0;0
54;"man";19;"vmbo/mbo";0;0;0;0;0;0
55;"man";18;"vmbo/mbo";0;0;0;0;0;0
56;"man";20;"vmbo/mbo";0;0;0;1;0;0
57;"man";20;"hbo/wo";0;0;0;1;0;0
58;"vrouw";25;"hbo/wo";0;0;0;0;0;0
59;"man";18;"havo/vwo";0;0;0;1;1;0
60;"vrouw";22;"hbo/wo";1;0;0;0;0;0
61;"vrouw";15;"havo/vwo";0;0;0;0;0;0
62;"man";25;"hbo/wo";0;0;0;0;0;0
63;"man";18;"havo/vwo";0;0;0;1;1;1
64;"vrouw";23;"havo/vwo";0;0;0;1;1;1
65;"vrouw";21;"hbo/wo";1;1;1;0;0;0
66;"vrouw";19;"hbo/wo";0;0;0;0;0;0
67;"man";25;"vmbo/mbo";0;0;0;1;1;1
68;"vrouw";21;"havo/vwo";0;0;0;1;1;1
69;"man";15;"vmbo/mbo";0;0;0;0;0;0
70;"man";18;"vmbo/mbo";0;0;0;1;0;0
71;"man";19;"hbo/wo";0;0;0;0;0;0
72;"vrouw";20;"havo/vwo";0;0;0;0;0;0
73;"man";22;"vmbo/mbo";0;0;0;0;0;0
74;"man";25;"hbo/wo";0;0;0;0;0;0
75;"vrouw";21;"vmbo/mbo";0;0;0;0;0;0
76;"man";21;"hbo/wo";0;0;0;1;1;1
77;"man";18;"vmbo/mbo";0;0;0;1;1;0
78;"man";18;"havo/vwo";0;0;0;0;0;0
79;"vrouw";18;"havo/vwo";0;0;0;0;0;0
80;"man";22;"vmbo/mbo";0;0;0;0;0;0
81;"vrouw";22;"hbo/wo";0;0;0;0;0;0
82;"man";18;"hbo/wo";0;0;0;1;1;0
83;"man";22;"havo/vwo";0;0;0;1;1;0
