"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"alcohol_ooit";"alcohol_laatste_jaar";"alcohol_frequentie";"tabak_ooit";"tabak_laatste_jaar";"tabak_frequentie";"vapen_ooit";"vapen_laatste_jaar";"vapen_frequentie";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_frequentie";"xtc_ooit";"xtc_laatste_jaar";"xtc_frequentie";"cocaine_ooit";"cocaine_laatste_jaar";"cocaine_frequentie";"mmc_ooit";"mmc_laatste_jaar";"mmc_frequentie";"sigaretten_uitgaansdag";"glazen_alcohol_uitgaansdag";"acceptatie_alcohol_vrienden";"acceptatie_xtc_vrienden";"acceptatie_cocaine_vrienden";"makkelijk_aan_drugs_komen";"ervaren_gezondheid";"manier_verkrijgen_drugs";"gemoed_dinsdag_na_xtc"
214;"man";22;"hoog";1;1;"eens per week";1;0;NA;1;1;"minder dan maandelijks";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;NA;14;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van een dealer";65
178;"vrouw";23;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;0;NA;0;0;NA;NA;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;27;19;"weet niet";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Goed";"koopt van vrienden/kennissen";56
67;"vrouw";18;"midden";1;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;NA;"mee eens";"niet mee eens of oneens";"mee oneens";"helemaal mee eens";"Goed";NA;NA
102;"vrouw";28;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;1;"een paar keer per week";1;0;NA;1;0;NA;1;1;"een keer";0;0;NA;12;5;"helemaal mee eens";"helemaal mee oneens";"mee oneens";"mee oneens";"Goed";"koopt van vrienden/kennissen";NA
299;"man";19;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een paar keer per week";1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";2;19;"helemaal mee eens";"mee eens";"weet niet";"helemaal mee eens";"Matig";"krijgt van vrienden/kennissen";NA
106;"man";18;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;31;22;"helemaal mee eens";"mee eens";"mee eens";"niet mee eens of oneens";"Goed";"krijgt van vrienden/kennissen";NA
131;"man";26;"hoog";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;1;0;NA;0;0;NA;0;0;NA;1;0;NA;3;17;"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"helemaal mee eens";"Slecht";NA;NA
13;"man";35;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"eens per week";1;1;"eens per maand";1;1;"eens per maand";1;1;"een paar keer per maand";1;1;"eens per maand";25;13;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"Slecht";"koopt van een dealer";37
114;"man";24;"midden";1;1;"eens per week";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per maand";1;1;"minder dan maandelijks";3;5;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"mee eens";"Goed";"koopt van een dealer";40
7;"man";34;"hoog";1;1;"een paar keer per week";1;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;21;"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"helemaal mee oneens";"Uitstekend";NA;NA
