"respondentnr";"geslacht";"leeftijd";"opleidingsniveau";"alcohol_ooit";"alcohol_laatste_jaar";"alcohol_frequentie";"tabak_ooit";"tabak_laatste_jaar";"tabak_frequentie";"vapen_ooit";"vapen_laatste_jaar";"vapen_frequentie";"cannabis_ooit";"cannabis_laatste_jaar";"cannabis_frequentie";"xtc_ooit";"xtc_laatste_jaar";"xtc_frequentie";"cocaine_ooit";"cocaine_laatste_jaar";"cocaine_frequentie";"mmc_ooit";"mmc_laatste_jaar";"mmc_frequentie";"sigaretten_uitgaansdag";"glazen_alcohol_uitgaansdag";"acceptatie_alcohol_vrienden";"acceptatie_xtc_vrienden";"acceptatie_cocaine_vrienden";"makkelijk_aan_drugs_komen";"ervaren_gezondheid"
258;"vrouw";27;"laag";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"eens per week";0;0;NA;0;0;NA;1;1;"een keer";0;0;NA;3;15;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"mee oneens";"goed"
89;"man";43;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;1;"een keer";0;0;NA;1;1;"minder dan maandelijks";8;20;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
109;"man";28;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"eens per maand";0;0;NA;NA;21;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
34;"man";25;"hoog";1;1;"een paar keer per maand";1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;12;"helemaal mee eens";"helemaal mee eens";"mee eens";"niet mee eens of oneens";"goed"
223;"man";21;"midden";1;0;NA;1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;10;NA;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
39;"vrouw";21;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;4;13;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"goed"
18;"man";15;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"eens per maand";0;0;NA;0;0;NA;16;13;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"niet goed/niet slecht"
38;"man";21;"hoog";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"eens per maand";1;1;"een keer";NA;0;NA;0;0;NA;NA;21;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"mee eens";"zeer goed"
5;"vrouw";18;"midden";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;5;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"niet goed/niet slecht"
266;"man";27;"midden";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;1;0;NA;1;1;"een keer";1;1;"minder dan maandelijks";0;0;NA;1;9;"helemaal mee oneens";"mee eens";"mee eens";"mee oneens";"goed"
221;"man";19;"hoog";1;1;"eens per week";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;4;5;"helemaal mee eens";"mee eens";"mee oneens";"niet mee eens of oneens";"goed"
70;"vrouw";22;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"een keer";1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;NA;5;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"weet niet";"goed"
72;"man";23;"midden";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;NA;17;"mee eens";"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"zeer goed"
320;"vrouw";29;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;1;"een paar keer per week";0;0;NA;1;1;"minder dan maandelijks";1;0;NA;1;1;"minder dan maandelijks";4;12;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
101;"man";32;"midden";1;1;"(bijna) elke dag";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;0;0;NA;11;6;"helemaal mee eens";"mee eens";"mee oneens";"helemaal mee eens";"niet goed/niet slecht"
252;"man";27;"hoog";1;1;"een paar keer per maand";1;1;"eens per maand";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;3;9;"helemaal mee eens";"helemaal mee eens";"mee eens";"mee eens";"zeer goed"
164;"man";26;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"een paar keer per maand";3;20;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"mee eens";"goed"
85;"man";33;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"eens per maand";1;1;"minder dan maandelijks";1;1;"eens per maand";19;10;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
199;"vrouw";28;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"eens per week";1;1;"een paar keer per week";0;0;NA;1;1;"een paar keer per maand";1;1;"minder dan maandelijks";4;8;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"zeer goed"
247;"vrouw";26;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;26;7;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee oneens";"goed"
20;"man";30;"hoog";1;1;"een paar keer per week";1;1;"een paar keer per maand";1;1;"eens per week";0;0;NA;1;1;"een keer";0;0;NA;0;0;NA;1;2;"helemaal mee eens";"mee eens";"helemaal mee oneens";"weet niet";"goed"
41;"man";39;"midden";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"een paar keer per week";0;0;NA;0;0;NA;0;0;NA;NA;15;"helemaal mee eens";"niet mee eens of oneens";"mee eens";"helemaal mee eens";"goed"
336;"vrouw";19;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";1;1;"een keer";1;1;"een paar keer per maand";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;13;6;"helemaal mee eens";"mee eens";"mee eens";"mee eens";"goed"
249;"man";26;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";1;1;"een keer";0;0;NA;8;7;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"slecht"
108;"vrouw";17;"midden";1;1;"een paar keer per week";1;1;"een paar keer per week";0;0;NA;1;0;NA;1;1;"minder dan maandelijks";0;0;NA;0;0;NA;16;12;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
262;"vrouw";25;"hoog";1;1;"een paar keer per week";1;1;"eens per week";1;1;"eens per maand";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";0;0;NA;17;8;"helemaal mee eens";"mee oneens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
194;"vrouw";34;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";NA;8;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
331;"man";17;"hoog";1;1;"een paar keer per maand";1;1;"een paar keer per maand";1;1;"een paar keer per maand";1;1;"een keer";0;0;NA;0;0;NA;0;0;NA;18;9;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"goed"
112;"vrouw";33;"midden";1;1;"eens per week";1;1;"eens per week";1;0;NA;0;0;NA;0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";7;4;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"mee eens";"goed"
26;"man";24;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;1;1;"een keer";1;1;"eens per maand";1;1;"minder dan maandelijks";5;11;"helemaal mee eens";"mee eens";"helemaal mee eens";"helemaal mee eens";"goed"
348;"man";24;"hoog";1;1;"eens per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;5;5;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"zeer goed"
240;"vrouw";25;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";0;0;NA;17;8;"helemaal mee eens";"mee eens";"mee eens";"weet niet";"niet goed/niet slecht"
253;"man";19;"hoog";1;1;"een paar keer per week";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;4;14;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"weet niet";"niet goed/niet slecht"
292;"vrouw";18;"hoog";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;0;NA;0;0;NA;0;0;NA;0;0;NA;21;9;"helemaal mee eens";"niet mee eens of oneens";"helemaal mee oneens";"mee eens";"niet goed/niet slecht"
175;"man";20;"hoog";1;1;"een paar keer per week";0;0;NA;1;1;"een keer";0;0;NA;NA;1;"minder dan maandelijks";0;0;NA;1;1;"minder dan maandelijks";NA;10;"helemaal mee eens";"helemaal mee eens";"helemaal mee oneens";"helemaal mee eens";"zeer goed"
68;"man";20;"midden";1;1;"eens per week";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"(bijna) elke dag";1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";0;0;NA;24;11;"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"helemaal mee eens";"niet goed/niet slecht"
282;"vrouw";26;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";1;1;"(bijna) elke dag";0;0;NA;1;1;"minder dan maandelijks";1;1;"minder dan maandelijks";1;0;NA;3;6;"helemaal mee eens";"helemaal mee eens";"mee eens";"helemaal mee eens";"goed"
338;"vrouw";20;"hoog";1;1;"een paar keer per week";0;0;NA;0;0;NA;1;1;"(bijna) elke dag";0;0;NA;0;0;NA;1;1;"minder dan maandelijks";NA;20;"helemaal mee eens";"mee eens";"mee eens";"helemaal mee eens";"goed"
295;"vrouw";22;"hoog";1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;1;1;"een paar keer per week";1;1;"minder dan maandelijks";0;0;NA;0;0;NA;3;8;"helemaal mee eens";"helemaal mee eens";"niet mee eens of oneens";"helemaal mee eens";"goed"
86;"vrouw";26;"midden";1;1;"eens per maand";1;1;"een paar keer per week";0;0;NA;0;0;NA;0;0;NA;0;0;NA;0;0;NA;2;8;"helemaal mee eens";"mee eens";"niet mee eens of oneens";"helemaal mee eens";"niet goed/niet slecht"
271;"man";23;"midden";1;1;"een paar keer per maand";1;1;"minder dan maandelijks";0;0;NA;1;0;NA;0;0;NA;0;0;NA;0;0;NA;2;10;"helemaal mee eens";"mee eens";"helemaal mee oneens";"niet mee eens of oneens";"goed"
